keyType,name,key,exFrom,exTime,dwTime,pos,span,spanX,spanY,scale,background,numOfCol,numOfRow,KB
1,TXT_1,Khó thở,,0.5,2,0,1,1,1,1,,5,4,
1,TXT_2,Tức ngực,,0.5,2,1,1,1,1,1,,,,
1,TXT_3,Đau tim,,0.5,2,2,1,1,1,1,,,,
1,Home,⌂,,0.5,2,3,1,1,1,1,,,,
1,lockButton,,,0.5,2,4,1,1,1,1,Imgs/HomePage/lock,,,
1,TXT_4,Đau đầu,,0.5,2,5,1,1,1,1,,,,
1,TXT_5,Đau cổ,,0.5,2,6,1,1,1,1,,,,
1,TXT_6,Đau họng,,0.5,2,7,1,1,1,1,,,,
1,TXT_7,Đau ngực,,0.5,2,8,1,1,1,1,,,,
1,TXT_8,Đau bụng,,0.5,2,9,1,1,1,1,,,,
1,TXT_9,Đau mỏi toàn thân,,0.5,2,10,1,1,1,1,,,,
1,TXT_10,Tê tay trái,,0.5,2,11,1,1,1,1,,,,
1,TXT_11,Tê tay phải,,0.5,2,12,1,1,1,1,,,,
1,TXT_12,Tê chân trái,,0.5,2,13,1,1,1,1,,,,
1,TXT_13,Tê chân phải,,0.5,2,14,1,1,1,1,,,,
1,TXT_14,Nóng,,0.5,2,15,1,1,1,1,,,,
1,TXT_15,Lạnh,,0.5,2,16,1,1,1,1,,,,
1,TXT_16,Đau buốt khi tiểu tiện,,0.5,2,17,1,1,1,1,,,,
1,TXT_17,Đau buốt khi đại tiện,,0.5,2,18,1,1,1,1,,,,
1,TXT_18,Đau buốt khi vệ sinh,,0.5,2,19,1,1,1,1,,,,
