keyType,name,key,exFrom,exTime,dwTime,pos,span,spanX,spanY,scale,background,numOfCol,numOfRow,KB
1,TXT_1,Xin chào,,0.5,2,0,1,1,1,1,,4,3,
1,TXT_2,Rất vui được gặp,,0.5,2,1,1,1,1,1,,,,
1,Home,⌂,,0.5,2,2,1,1,1,1,,,,
1,lockButton,,,0.5,2,3,1,1,1,1,Imgs/HomePage/lock,,,
1,TXT_3,Tạm biệt,,0.5,2,4,1,1,1,1,,,,
1,TXT_4,Chào nhé,,0.5,2,5,1,1,1,1,,,,
1,TXT_5,Đi nhé,,0.5,2,6,1,1,1,1,,,,
1,TXT_6,Bảo trọng,,0.5,2,7,1,1,1,1,,,,
1,TXT_7,Cảm ơn,,0.5,2,8,1,1,1,1,,,,
1,TXT_8,Cảm ơn đã hỏi thăm,,0.5,2,9,1,1,1,1,,,,
1,TXT_9,Không có gì,,0.5,2,10,1,1,1,1,,,,
1,TXT_10,Xin lỗi nhé,,0.5,2,11,1,1,1,1,,,,
