keyType,name,key,exFrom,exTime,dwTime,pos,span,spanX,spanY,scale,background,numOfCol,numOfRow,KB
1,Speak,☺,,1.3,3,0,1,1,1,1,,8,5,0
2,textfield,_textfield,,1.3,3,2,3,3,1,1,,,,0
1,Left,◁,,1.3,3,1,1,1,1,1,,,,0
1,Right,▷,,1.3,3,5,1,1,1,1,,,,0
1,Return,⏎,,1.3,3,7,1,1,1,1,,,,0
1,BackSpace,⌫,,1.3,3,6,1,1,1,1,,,,0
1,Clear,⌧,BackSpace,1.3,4,14,1,1,1,1,,,,0
1,Lang,En,Speak,1.3,3,8,1,1,1,1,,,,0
1,KB,@#$,Return,1.3,4,15,1,1,1,1,,,,0
1,q,q,,1.3,3,8,1,1,1,1,,,,1
1,qu,qu,q,1.3,4,16,1,1,1,1,,,,1
1,c,c,,1.3,3,9,1,1,1,1,,,,1
1,ch,ch,c,1.3,4,17,1,1,1,1,,,,1
1,d,d,,1.3,3,10,1,1,1,1,,,,1
1,dd,đ,d,1.3,4,18,1,1,1,1,,,,1
1,k,k,,1.3,3,11,1,1,1,1,,,,1
1,kh,kh,k,1.3,4,19,1,1,1,1,,,,1
1,p,p,,1.3,3,12,1,1,1,1,,,,1
1,ph,ph,p,1.3,4,20,1,1,1,1,,,,1
1,a,a,,1.3,3,13,1,1,1,1,,,,1
1,aa,â,a,1.3,4,21,1,1,1,1,,,,1
1,aw,ă,a,1.3,4,14,1,1,1,1,,,,1
1,e,e,,1.3,3,14,1,1,1,1,,,,1
1,ee,ê,e,1.3,4,22,1,1,1,1,,,,1
1,one,1,,1.3,3,15,1,1,1,1,,,,1
1,two,2,one,1.3,3,14,1,1,1,1,,,,1
1,three,3,one,1.3,5,13,1,1,1,1,,,,1
1,r,r,,1.3,3,16,1,1,1,1,,,,1
1,h,h,,1.3,3,17,1,1,1,1,,,,1
1,m,m,,1.3,3,18,1,1,1,1,,,,1
1,v,v,,1.3,3,19,1,1,1,1,,,,1
1,l,l,,1.3,3,20,1,1,1,1,,,,1
1,i,i,,1.3,3,21,1,1,1,1,,,,1
1,o,o,,1.3,3,22,1,1,1,1,,,,1
1,oo,ô,o,1.3,4,21,1,1,1,1,,,,1
1,ow,ơ,o,1.3,4,14,1,1,1,1,,,,1
1,comma,",",,1.3,3,23,1,1,1,1,,,,1
1,b,b,,1.3,3,24,1,1,1,1,,,,1
1,g,g,,1.3,3,25,1,1,1,1,,,,1
1,gh,gh,g,1.3,4,17,1,1,1,1,,,,1
1,gi,gi,g,1.3,4,26,1,1,1,1,,,,1
1,n,n,,1.3,3,26,1,1,1,1,,,,1
1,nh,nh,n,1.3,4,25,1,1,1,1,,,,1
1,ng,ng,n,1.3,4,27,1,1,1,1,,,,1
1,ngh,ngh,n,1.3,4,18,1,1,1,1,,,,1
1,t,t,,1.3,3,27,1,1,1,1,,,,1
1,th,th,t,1.3,4,19,1,1,1,1,,,,1
1,tr,tr,t,1.3,4,26,1,1,1,1,,,,1
1,x,x,,1.3,3,28,1,1,1,1,,,,1
1,u,u,,1.3,3,29,1,1,1,1,,,,1
1,ww,ư,u,1.3,4,21,1,1,1,1,,,,1
1,y,y,,1.3,3,30,1,1,1,1,,,,1
1,dot,.,,1.3,3,31,1,1,1,1,,,,1
1,newline,↩,dot,1.3,4,30,1,1,1,1,,,,1
1,w,w,,1.3,3,32,1,1,1,1,,,,1
1,j,j,,1.3,3,33,1,1,1,1,,,,1
1,s,s,,1.3,3,34,1,1,1,1,,,,1
1,f,f,,1.3,3,35,1,1,1,1,,,,1
1,z,z,,1.3,3,36,1,1,1,1,,,,1
1,Space,␣,,1.3,3,37,3,3,1,1,,,,1
1,Huyen,Huyền,Space,1.3,4,36,1,1,1,1,,,,1
1,Hoi,Hỏi,Space,1.3,4,28,1,1,1,1,,,,1
1,Sac,Sắc,Space,1.3,4,29,1,1,1,1,,,,1
1,Nang,Nặng,Space,1.3,4,30,1,1,1,1,,,,1
1,Nga,Ngã,Space,1.3,4,31,1,1,1,1,,,,1
1,tilde,~,,1.3,3,8,1,1,1,1,,,,2
1,at,@,,1.3,3,9,1,1,1,1,,,,2
1,hash,#,,1.3,3,10,1,1,1,1,,,,2
1,dollar,$,,1.3,3,11,1,1,1,1,,,,2
1,percent,%,,1.3,3,12,1,1,1,1,,,,2
1,1,1,,1.3,3,15,1,1,1,1,,,,2
1,2,2,,1.3,3,14,1,1,1,1,,,,2
1,3,3,,1.3,3,13,1,1,1,1,,,,2
1,4,4,,1.3,3,23,1,1,1,1,,,,2
1,5,5,,1.3,3,22,1,1,1,1,,,,2
1,6,6,,1.3,3,21,1,1,1,1,,,,2
1,7,7,,1.3,3,31,1,1,1,1,,,,2
1,8,8,,1.3,3,30,1,1,1,1,,,,2
1,9,9,,1.3,3,29,1,1,1,1,,,,2
1,+,+,,1.3,3,39,1,1,1,1,,,,2
1,0,0,,1.3,3,38,1,1,1,1,,,,2
1,-,-,,1.3,3,37,1,1,1,1,,,,2
1,power,^,,1.3,3,16,1,1,1,1,,,,2
1,and,&,,1.3,3,17,1,1,1,1,,,,2
1,apost,`,,1.3,3,18,1,1,1,1,,,,2
1,lpar,(,,1.3,3,19,1,1,1,1,,,,2
1,rpar,),,1.3,3,20,1,1,1,1,,,,2
1,colon,:,,1.3,3,24,1,1,1,1,,,,2
1,scolon,;,,1.3,3,25,1,1,1,1,,,,2
1,question,?,,1.3,3,26,1,1,1,1,,,,2
1,lcur,{,,1.3,3,27,1,1,1,1,,,,2
1,rcur,},,1.3,3,28,1,1,1,1,,,,2
1,less,<,,1.3,3,32,1,1,1,1,,,,2
1,great,>,,1.3,3,33,1,1,1,1,,,,2
1,equal,=,,1.3,3,34,1,1,1,1,,,,2
1,multi,*,,1.3,3,35,1,1,1,1,,,,2
1,div,/,,1.3,3,36,1,1,1,1,,,,2
