keyType,name,key,exFrom,exTime,dwTime,pos,span,spanX,spanY,scale,background,numOfCol,numOfRow,KB
1,TXT_1,Có,,0.5,2,0,1,1,1,1,,5,4,
1,TXT_2,Không,,0.5,2,1,1,1,1,1,,,,
1,TXT_3,Không biết,,0.5,2,2,1,1,1,1,,,,
1,Home,⌂,,0.5,2,3,1,1,1,1,,,,
1,lockButton,,,0.5,2,4,1,1,1,1,Imgs/HomePage/lock,,,
1,TXT_4,Có khỏe không?,,0.5,2,5,1,1,1,1,,,,
1,TXT_5,Gia đình thế nào?,,0.5,2,6,1,1,1,1,,,,
1,TXT_6,Cuộc sống thế nào?,,0.5,2,7,1,1,1,1,,,,
1,TXT_7,Công việc thế nào?,,0.5,2,8,1,1,1,1,,,,
1,TXT_8,Có chuyện gì không?,,0.5,2,9,1,1,1,1,,,,
1,TXT_9,Khỏe,,0.5,2,10,1,1,1,1,,,,
1,TXT_10,Bình thường,,0.5,2,11,1,1,1,1,,,,
1,TXT_11,Cực khỏe,,0.5,2,12,1,1,1,1,,,,
1,TXT_12,Mọi thứ đều tốt,,0.5,2,13,1,1,1,1,,,,
1,TXT_13,Tuyệt vời,,0.5,2,14,1,1,1,1,,,,
1,TXT_14,Hơi mệt,,0.5,2,15,1,1,1,1,,,,
1,TXT_15,Chán nhỉ,,0.5,2,16,1,1,1,1,,,,
1,TXT_16,Không được vui,,0.5,2,17,1,1,1,1,,,,
1,TXT_17,Hơi buồn,,0.5,2,18,1,1,1,1,,,,
1,TXT_18,Buồn lắm,,0.5,2,19,1,1,1,1,,,,
