keyType,name,key,exFrom,exTime,dwTime,pos,span,spanX,spanY,scale,background,numOfCol,numOfRow,KB
1,Home,,,0.5,2,9,1,1,2,1,,5,5,
1,title,,,0.5,2,5,1,1,3,1,,,,
1,language_title,Ngôn ngữ,,0.5,2,6,1,1,1,1,,,,
1,language_change,,,0.5,2,7,1,1,1,1,,,,
1,language,,,0.5,2,8,1,1,1,1,,,,
1,color_title,Màu,,0.5,2,11,1,1,1,1,,,,
1,color_change,,,0.5,2,12,1,1,1,1,,,,
1,color,,,0.5,2,13,1,1,1,1,,,,
1,speed_title,Tốc độ,,0.5,2,16,1,1,1,1,,,,
1,speed_down,,,0.5,2,17,1,1,1,1,,,,
1,speed_up,,,0.5,2,19,1,1,1,1,,,,
1,speed,,,0.5,2,18,1,1,1,1,,,,
,,,,,,,,,,,,,,
1,blank,,,0.5,2,0,1,1,1,1,,,,
1,blank,,,0.5,2,1,1,1,1,1,,,,
1,blank,,,0.5,2,2,1,1,1,1,,,,
1,blank,,,0.5,2,3,1,1,1,1,,,,
1,blank,,,0.5,2,4,1,1,1,1,,,,
1,blank,,,0.5,2,20,1,1,1,1,,,,
1,blank,,,0.5,2,21,1,1,1,1,,,,
1,blank,,,0.5,2,22,1,1,1,1,,,,
1,blank,,,0.5,2,23,1,1,1,1,,,,
1,blank,,,0.5,2,24,1,1,1,1,,,,
