keyType,name,key,exFrom,exTime,dwTime,pos,span,spanX,spanY,scale,background,numOfCol,numOfRow,KB
1,light_devices,,,0.5,2,0,1,2,2,1,,9,5,
1,fan_devices,,,0.5,2,2,1,2,2,1,,,,
1,tv_devices,,,0.5,2,4,1,2,2,1,,,,
1,ac_devices,,,0.5,2,6,1,2,2,1,,,,
1,blank,,,0.5,2,8,1,1,2,1,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,light_device1,,,0.5,2,18,1,2,1,1,,,,
1,light_device2,,,0.5,2,27,1,2,1,1,,,,
1,light_device3,,,0.5,2,36,1,2,1,1,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,Home,,,0.5,2,26,1,1,2,1,,,,
,,,,,,,,,,,,,,
1,fan_device1,,,0.5,2,20,1,2,1,1,,,,
1,fan_device2,,,0.5,2,29,1,2,1,1,,,,
1,fan_device3,,,0.5,2,38,1,2,1,1,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,tv_device1,,,0.5,2,22,1,2,1,1,,,,
1,tv_device2,,,0.5,2,31,1,2,1,1,,,,
1,tv_device3,,,0.5,2,40,1,2,1,1,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1,layout_setting,,,0.5,2,44,1,1,1,1,,,,
,,,,,,,,,,,,,,
1,ac_device1,,,0.5,2,24,1,2,1,1,,,,
1,ac_device2,,,0.5,2,33,1,2,1,1,,,,
1,ac_device3,,,0.5,2,42,1,2,1,1,,,,
