keyType,name,key,exFrom,exTime,dwTime,pos,span,spanX,spanY,scale,background,numOfCol,numOfRow,KB
1,txt1,Text 1,,0.5,2,0,2,3,1,1,,8,5,
1,txt2,Text 2,,0.5,2,8,2,3,1,1,,,,
1,txt3,Text 3,,0.5,2,16,2,3,1,1,,,,
1,txt4,Text 4,,0.5,2,24,2,3,1,1,,,,
1,txt5,Text 5,,0.5,2,32,2,3,1,1,,,,
1,txt6,Text 6,,0.5,2,3,2,3,1,1,,,,
1,txt7,Text 7,,0.5,2,11,2,3,1,1,,,,
1,txt8,Text 8,,0.5,2,19,2,3,1,1,,,,
1,txt9,Text 9,,0.5,2,27,2,3,1,1,,,,
1,txt10,Text 10,,0.5,2,35,2,3,1,1,,,,
1,FirstPage,▲,,0.5,2,6,1,1,1,1,,,,
1,PreviousPage,△,,0.5,2,14,1,1,1,1,,,,
1,NextPage,▽,,0.5,2,22,1,1,2,1,,,,
1,LastPage,▼,,0.5,2,38,1,1,1,1,,,,
1,Home,⌂,,0.5,2,7,1,1,1,1,,,,
1,Keyboard,⌨,,0.5,2,15,1,1,1,1,,,,
1,Typing,abc,,0.5,2,23,1,1,2,1,,,,
1,Delete,⌫,,0.5,2,39,1,1,1,1,,,,
