keyType,name,key,exFrom,exTime,dwTime,pos,span,spanX,spanY,scale,background,numOfCol,numOfRow,KB
1,Caption,Luyện tập chuyển động mắt để chọn phím - Bài 12,,0.5,2,0,1,7,1,1,,8,5,
1,Home,⌂,,0.5,2,7,1,1,1,1,,,,0
1,BT0,q,,1.3,2,8,1,1,1,1,,,,0
1,BT1,c,,1.3,2,9,1,1,1,1,,,,0
1,BT2,d,,1.3,2,10,1,1,1,1,,,,0
1,BT3,k,,1.3,2,11,1,1,1,1,,,,0
1,BT4,p,,1.3,2,12,1,1,1,1,,,,0
1,BT5,a,,1.3,2,13,1,1,1,1,,,,0
1,BT6,e,,1.3,2,14,1,1,1,1,,,,0
1,BT7,1,,1.3,2,15,1,1,1,1,,,,0
1,BT8,r,,1.3,2,16,1,1,1,1,,,,0
1,BT9,h,,1.3,2,17,1,1,1,1,,,,0
1,BT10,m,,1.3,2,18,1,1,1,1,,,,0
1,BT11,v,,1.3,2,19,1,1,1,1,,,,0
1,BT12,l,,1.3,2,20,1,1,1,1,,,,0
1,BT13,i,,1.3,2,21,1,1,1,1,,,,0
1,BT14,o,,1.3,2,22,1,1,1,1,,,,0
1,BT15,phẩy,,1.3,2,23,1,1,1,1,,,,0
1,BT16,b,,1.3,2,24,1,1,1,1,,,,0
1,BT17,g,,1.3,2,25,1,1,1,1,,,,0
1,BT18,n,,1.3,2,26,1,1,1,1,,,,0
1,BT19,t,,1.3,2,27,1,1,1,1,,,,0
1,BT20,x,,1.3,2,28,1,1,1,1,,,,0
1,BT21,u,,1.3,2,29,1,1,1,1,,,,0
1,BT22,y,,1.3,2,30,1,1,1,1,,,,0
1,BT23,chấm,,1.3,2,31,1,1,1,1,,,,0
1,BT24,w,,1.3,2,32,1,1,1,1,,,,0
1,BT25,j,,1.3,2,33,1,1,1,1,,,,0
1,BT26,s,,1.3,2,34,1,1,1,1,,,,0
1,BT27,f,,1.3,2,35,1,1,1,1,,,,0
1,BT28,z,,1.3,2,36,1,1,1,1,,,,0
1,BT29,cách,,1.3,2,37,3,3,1,1,,,,0
