keyType,name,key,exFrom,exTime,dwTime,pos,span,spanX,spanY,scale,background,numOfCol,numOfRow,KB
1,next_channel,,,0.5,2,1,1,1,1,1,,5,5,
1,prev_channel,,,0.5,2,6,1,1,1,1,,,,
1,volume_up,,,0.5,2,2,1,1,1,1,,,,
1,volume_down,,,0.5,2,7,1,1,1,1,,,,
1,on,,,0.5,2,0,1,1,1,1,,,,
1,off,,,0.5,2,5,1,1,1,1,,,,
1,Home,,,0.5,2,3,1,2,2,1,,,,
,,,,,,,,,,,,,,
1,num_1,,,0.5,2,15,1,1,1,1,,,,
1,num_2,,,0.5,2,16,1,1,1,1,,,,
1,num_3,,,0.5,2,17,1,1,1,1,,,,
1,num_4,,,0.5,2,18,1,1,1,1,,,,
1,num_5,,,0.5,2,19,1,1,1,1,,,,
1,num_6,,,0.5,2,20,1,1,1,1,,,,
1,num_7,,,0.5,2,21,1,1,1,1,,,,
1,num_8,,,0.5,2,22,1,1,1,1,,,,
1,num_9,,,0.5,2,23,1,1,1,1,,,,
1,num_0,,,0.5,2,24,1,1,1,1,,,,
,,,,,,,,,,,,,,
1,blank,,,0.5,2,10,1,1,1,1,,,,
1,blank,,,0.5,2,14,1,1,1,1,,,,
1,target_channel,,,0.5,2,11,1,3,1,1,,,,
