keyType,name,key,exFrom,exTime,dwTime,pos,span,spanX,spanY,scale,background,numOfCol,numOfRow,KB
1,Words,,,0.5,2,0,1,2,1,1,,5,4,
1,Delete,⌫,,0.5,2,2,1,1,1,1,,,,0
1,Clear,⌧,Delete,1.3,2.5,7,1,1,1,1,,,,0
1,Space,␣,,0.5,2,3,1,1,1,1,,,,0
1,Home,⌂,,0.5,2,4,1,1,1,1,,,,0
1,TXT1,,,0.5,2,5,1,1,1,1,,,,1
1,TXT2,,,0.5,2,6,1,1,1,1,,,,1
1,TXT3,,,0.5,2,7,1,1,1,1,,,,1
1,TXT4,,,0.5,2,8,1,1,1,1,,,,1
1,TXT5,,,0.5,2,9,1,1,1,1,,,,1
1,TXT6,,,0.5,2,10,1,1,1,1,,,,1
1,TXT7,,,0.5,2,11,1,1,1,1,,,,1
1,TXT8,,,0.5,2,12,1,1,1,1,,,,1
1,TXT9,,,0.5,2,13,1,1,1,1,,,,1
1,Next,▷,,0.5,2,14,1,1,1,1,,,,1
1,TXT10,,,0.5,2,15,1,1,1,1,,,,1
1,TXT11,,,0.5,2,16,1,1,1,1,,,,1
1,TXT12,,,0.5,2,17,1,1,1,1,,,,1
1,TXT13,,,0.5,2,18,1,1,1,1,,,,1
1,TXT14,,,0.5,2,19,1,1,1,1,,,,1
