keyType,name,key,exFrom,exTime,dwTime,pos,span,spanX,spanY,scale,background,numOfCol,numOfRow,KB
2,txtArea,,,0.5,2,0,1,7,4,1,,8,5,
1,Return,⏎,,0.5,2,7,1,1,1,1,,,,
1,Keyboard,⌨,,0.5,2,15,1,1,1,1,,,,
1,Paste,✑,,0.5,2,23,1,1,1,1,,,,
1,Copy,⌸,,0.5,2,31,1,1,1,1,,,,
1,Backspace,⌫,,0.5,2,39,1,1,1,1,,,,
1,Clear,⌧,Backspace,0.5,2,38,1,1,1,1,,,,
1,Left,◁,,0.5,2,32,1,1,1,1,,,,
1,LineBegin,⇤,Left,0.5,2,24,1,1,1,1,,,,
1,TextBegin,⇚,Left,0.5,2,16,1,1,1,1,,,,
1,Up,△,,0.5,2,33,1,1,1,1,,,,
1,Select,∣,,0.5,2,34,1,1,1,1,,,,
1,Down,▽,,0.5,2,35,1,1,1,1,,,,
1,Right,▷,,0.5,2,36,1,1,1,1,,,,
1,LineEnd,⇥,Right,0.5,2,28,1,1,1,1,,,,
1,TextEnd,⇛,Right,0.5,2,20,1,1,1,1,,,,
1,Space,␣,,0.5,2,37,1,1,1,1,,,,
1,Newline,↩,,0.5,2,38,1,1,1,1,,,,
